,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.622265,0.0,Ligand,Receptor,TIMP1,CD63,3.622265
1,TIMP1,CD63,Fibroblast cell,Macrophage cell,3.5980756,0.0,Ligand,Receptor,TIMP1,CD63,3.5980756
2,TIMP1,CD63,Fibroblast cell,Stellate cell,3.5183902,0.0,Ligand,Receptor,TIMP1,CD63,3.5183902
3,B2M,CD3D,Macrophage cell,T cell,3.510731,0.0,Ligand,Receptor,B2M,CD3D,3.510731
4,B2M,CD3D,T cell,T cell,3.504991,0.0,Ligand,Receptor,B2M,CD3D,3.504991
5,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.4693375,0.0,Ligand,Receptor,TIMP1,CD63,3.4693375
6,B2M,CD3D,Ductal cell type 2,T cell,3.4288278,0.0,Ligand,Receptor,B2M,CD3D,3.4288278
7,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.4267251,0.0,Ligand,Receptor,TIMP1,CD63,3.4267251
8,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.4109626,0.0,Ligand,Receptor,TIMP1,CD63,3.4109626
9,B2M,CD3D,Endothelial cell,T cell,3.3976943,0.0,Ligand,Receptor,B2M,CD3D,3.3976943
10,B2M,CD3D,Stellate cell,T cell,3.347493,0.0,Ligand,Receptor,B2M,CD3D,3.347493
11,PRSS1,F2R,Acinar cell,Fibroblast cell,3.3388314,0.0,Ligand,Receptor,PRSS1,F2R,3.3388314
12,B2M,CD3D,Ductal cell type 1,T cell,3.2654316,0.0,Ligand,Receptor,B2M,CD3D,3.2654316
13,TIMP1,CD63,Stellate cell,Fibroblast cell,3.265275,0.0,Ligand,Receptor,TIMP1,CD63,3.265275
14,TIMP1,CD63,Stellate cell,Macrophage cell,3.2410855,0.0,Ligand,Receptor,TIMP1,CD63,3.2410855
