,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.6124954,0.0,Ligand,Receptor,INS,INSR,4.6124954
1,INS,IGF1R,Endocrine cell,Endocrine cell,4.4979777,0.0,Ligand,Receptor,INS,IGF1R,4.4979777
2,INS,INSR,Endocrine cell,Ductal cell type 1,4.471905,0.0,Ligand,Receptor,INS,INSR,4.471905
3,INS,IGF1R,Endocrine cell,Ductal cell type 1,4.4634814,0.0,Ligand,Receptor,INS,IGF1R,4.4634814
4,INS,INSR,Endocrine cell,Endocrine cell,4.4547286,0.0,Ligand,Receptor,INS,INSR,4.4547286
5,IAPP,RAMP2,Endocrine cell,Endothelial cell,2.8178644,0.0,Ligand,Receptor,IAPP,RAMP2,2.8178644
6,LUM,ITGB1,Fibroblast cell,Stellate cell,2.7729049,0.0,Ligand,Receptor,LUM,ITGB1,2.7729049
7,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.7365007,0.0,Ligand,Receptor,LUM,ITGB1,2.7365007
8,APP,CD74,Ductal cell type 1,Endothelial cell,2.7198548,0.0,Ligand,Receptor,APP,CD74,2.7198548
9,APP,CD74,Endothelial cell,Endothelial cell,2.6988528,0.0,Ligand,Receptor,APP,CD74,2.6988528
10,B2M,TFRC,Endothelial cell,Ductal cell type 1,2.6457765,0.0,Ligand,Receptor,B2M,TFRC,2.6457765
11,IAPP,RAMP3,Endocrine cell,Endothelial cell,2.6218095,0.0,Ligand,Receptor,IAPP,RAMP3,2.6218095
12,S100A10,CFTR,Ductal cell type 1,Ductal cell type 1,2.546723,0.0,Ligand,Receptor,S100A10,CFTR,2.546723
13,HSP90AA1,CFTR,Ductal cell type 1,Ductal cell type 1,2.4913688,0.0,Ligand,Receptor,HSP90AA1,CFTR,2.4913688
14,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.4335003,0.0,Ligand,Receptor,LUM,ITGB1,2.4335003
15,HLA-A,APLP2,Endothelial cell,Ductal cell type 1,2.4052925,0.0,Ligand,Receptor,HLA-A,APLP2,2.4052925
16,S100A10,CFTR,Endothelial cell,Ductal cell type 1,2.392738,0.0,Ligand,Receptor,S100A10,CFTR,2.392738
17,APP,CD74,Fibroblast cell,Endothelial cell,2.3846447,0.0,Ligand,Receptor,APP,CD74,2.3846447
18,APP,CD74,Endocrine cell,Endothelial cell,2.3599422,0.0,Ligand,Receptor,APP,CD74,2.3599422
19,CALM2,AQP1,Stellate cell,Endothelial cell,2.3484788,0.0,Ligand,Receptor,CALM2,AQP1,2.3484788
20,HLA-A,APLP2,Endothelial cell,Fibroblast cell,2.3268895,0.0,Ligand,Receptor,HLA-A,APLP2,2.3268895
21,CALM2,AQP1,Stellate cell,Ductal cell type 1,2.2808635,0.0,Ligand,Receptor,CALM2,AQP1,2.2808635
22,LUM,ITGB1,Fibroblast cell,Ductal cell type 1,2.2796507,0.0,Ligand,Receptor,LUM,ITGB1,2.2796507
23,HLA-B,CANX,Endothelial cell,Endocrine cell,2.2743206,0.0,Ligand,Receptor,HLA-B,CANX,2.2743206
24,APP,CD74,Stellate cell,Endothelial cell,2.2521238,0.0,Ligand,Receptor,APP,CD74,2.2521238
25,TIMP1,CD63,Fibroblast cell,Fibroblast cell,2.2448206,0.0,Ligand,Receptor,TIMP1,CD63,2.2448206
26,VIM,CD44,Stellate cell,Ductal cell type 1,2.2400146,0.0,Ligand,Receptor,VIM,CD44,2.2400146
27,HLA-B,CANX,Endothelial cell,Ductal cell type 1,2.217904,0.0,Ligand,Receptor,HLA-B,CANX,2.217904
28,LGALS1,ITGB1,Stellate cell,Stellate cell,2.2150898,0.0,Ligand,Receptor,LGALS1,ITGB1,2.2150898
29,IAPP,RAMP1,Endocrine cell,Ductal cell type 1,2.212378,0.0,Ligand,Receptor,IAPP,RAMP1,2.212378
30,CALM2,AQP1,Fibroblast cell,Endothelial cell,2.203604,0.0,Ligand,Receptor,CALM2,AQP1,2.203604
31,DCN,EGFR,Fibroblast cell,Fibroblast cell,2.2001073,0.0,Ligand,Receptor,DCN,EGFR,2.2001073
32,HLA-A,APLP2,Endothelial cell,Endothelial cell,2.1987371,0.0,Ligand,Receptor,HLA-A,APLP2,2.1987371
33,VIM,CD44,Fibroblast cell,Ductal cell type 1,2.1928,0.0,Ligand,Receptor,VIM,CD44,2.1928
